cik,company,date
0001006459,CELERITY SYSTEMS INC,2006-01-05
0001132686,"Winsted Holdings, Inc.",2007-10-18
0000812805,ATLANTIS BUSINESS DEVELOPMENT CORP,2007-09-19
0001107809,HYDROFLO INC,2007-07-03
0000317438,"CLX INVESTMENT COMPANY, INC.",2007-05-30
0001105310,PAR 3 SERVICES INC,2007-05-25
0001094788,"Integrative Health Technologies, Inc.",2007-05-07
0001363533,"Conihasset Capital Partners, Inc.",2007-04-20
0001111391,AMERICAN ENERGY PRODUCTION INC,2007-04-03
0000793986,CITY CAPITAL CORP,2007-04-03
0001160598,Franchise Capital CORP,2007-03-13
0001057327,COMCAM INC,2007-03-09
0001273534,BRANTLEY MEZZANINE CAPITAL CORP,2007-01-25
0000912844,Small Cap Strategies Inc,2008-11-24
0001359272,"Imperali, Inc.",2008-11-06
0001329549,Liberator BDC Inc.,2008-09-29
0000810270,"STARINVEST GROUP, INC.",2008-08-13
0001106838,"Chanticleer Holdings, Inc.",2008-07-21
0001279740,DEVELOCAP INC,2008-07-15
0001279740,DEVELOCAP INC,2008-07-14
0001281845,INNOCAP INC,2008-07-14
0000925709,MORAMERICA CAPITAL CORP,2008-05-15
0000923808,MACC PRIVATE EQUITIES INC,2008-05-05
0001137587,VitalTrust Business Development CORP,2008-03-14
0001036052,EXCELSIOR PRIVATE EQUITY FUND II INC,2008-01-29
0000755328,NeoTactix Corp,2008-01-11
0001084133,"Global Beverage Solutions, Inc.",2008-01-02
0001439675,HT Capital CORP,2009-12-10
0001321560,"Patriot Capital Funding, Inc.",2009-12-04
0001425883,Independent Film Development CORP,2009-10-05
0001098482,UTEK CORP,2009-10-01
0001021009,BRANTLEY CAPITAL CORP,2009-07-22
0001464802,HCF Acquisition LLC,2009-06-16
0001373641,"Highland Distressed Opportunities, Inc.",2009-06-15
0000919567,"RENN Global Entrepreneurs Fund, Inc.",2009-05-21
0000842722,"Double Eagle Holdings, Ltd.",2009-01-20
0001387034,PLAINFIELD DIRECT INC,2010-12-30
0001487328,"Age Reversal, Inc.",2010-12-21
0001430415,Ametrine Capital Inc,2010-11-19
0001118974,"INFINITY CAPITAL GROUP, INC.",2010-09-10
0001366823,SPRING CREEK CAPITAL CORP.,2010-08-17
0001096938,United EcoEnergy Corp.,2010-08-17
0001096935,"American Development & Investment Fund, Inc.",2010-08-16
0001363890,KAYNE ANDERSON ENERGY DEVELOPMENT CO,2010-07-07
0000003906,ALLIED CAPITAL CORP,2010-04-01
0001103076,EXCELSIOR VENTURE PARTNERS III LLC,2010-01-29
0001397081,"Residential Income Properties, Inc.",2011-11-14
0001308569,"Universal Capital Management, Inc.",2011-11-01
0001271808,VENTURE LENDING & LEASING IV INC,2011-10-31
0001287234,MARATHON CAPITAL FINANCE CORP,2011-10-18
0000923808,MACC PRIVATE EQUITIES INC,2011-10-04
0001347652,TORTOISE CAPITAL RESOURCES CORP,2011-09-21
0001023957,WESTERN PENNSYLVANIA ADVENTURE CAPITAL FUND,2011-05-04
0001471039,ZEA CAPITAL FUND LLC,2011-01-12
0000937969,BERTHEL GROWTH & INCOME TRUST I,2012-03-30
0001376067,"Venture Lending & Leasing V, Inc.",2014-08-07
0000748268,EnergyTEK Corp.,2014-07-23
0001491925,"New Mountain Finance Holdings, L.L.C.",2014-05-08
0001515173,New Mountain Finance AIV Holdings Corp,2014-04-15
0001445175,"HighLight Networks, Inc.",2014-02-11
0001445175,"HighLight Networks, Inc.",2014-02-11
0001141299,MCG CAPITAL CORP,2015-08-18
0000912844,"INVENT Ventures, Inc.",2015-07-24
0001599750,FS Energy & Power Fund II,2016-12-23
0001685711,Prospect Credit Corp,2016-12-08
0001490013,Full Circle Capital Corp,2016-11-04
0001619239,"Credit Suisse Park View BDC, Inc.",2016-09-30
0001606657,BUSINESS DEVELOPMENT Corp OF AMERICA II,2016-04-21
0001598893,"Integrity Capital Income Fund, Inc.",2017-11-14
0001609336,Griffin Capital BDC Corp.,2017-10-06
0001482199,"Venture Lending & Leasing VI, Inc.",2017-09-14
0001444706,"CROSSROADS CAPITAL, INC.",2017-06-23
0001561528,NF Investment Corp.,2017-06-13
0000893739,180 DEGREE CAPITAL CORP. /NY/,2017-03-30
0000817473,"AMERICAN CAPITAL, LTD",2017-01-03
0001514183,"Point Capital, Inc.",2018-09-28
0001581934,"American Capital Senior Floating, Ltd.",2018-09-19
0000818897,FRESHSTART VENTURE CAPITAL CORP,2018-08-07
0000822874,MEDALLION CAPITAL INC,2018-08-07
0001370754,"Special Value Continuation Partners, LP",2018-08-01
0001674786,GUGGENHEIM CREDIT INCOME FUND 2018 T,2018-04-09
0001000209,MEDALLION FINANCIAL CORP,2018-04-02
0001109697,"Encounter Technologies, Inc.",2018-01-03
0001425355,"Mill City Ventures III, Ltd",2019-12-27
0001297704,OHA Investment Corp,2019-12-19
0001617896,Corporate Capital Trust II,2019-12-18
0001579412,FS Investment Corp III,2019-12-18
0001637417,FS Investment Corp IV,2019-12-18
0001614173,"SIGULER GUFF SMALL BUSINESS CREDIT OPPORTUNITIES FUND, INC",2019-11-04
0001627515,GOLUB CAPITAL INVESTMENT Corp,2019-09-16
0001494538,"Corporate Capital Trust, Inc.",2019-04-02
0001550913,"MacKenzie Realty Capital, Inc.",2020-12-31
0001099941,"MVC CAPITAL, INC.",2020-12-23
0001827994,King Equity Group Inc.,2020-12-03
0001701724,Flat Rock Capital Corp.,2020-12-02
0001509892,Garrison Capital Inc.,2020-10-28
0001683074,Goldman Sachs Middle Market Lending Corp.,2020-10-13
0001626899,"Parkview Capital Credit, Inc.",2020-04-29
0001578620,Alcentra Capital Corp,2020-01-31
0001455656,"Rand Capital SBIC, Inc.",2021-12-30
0001557424,"Venture Lending & Leasing VII, Inc.",2021-07-19
0001525759,FS KKR Capital Corp. II,2021-06-16
0001559909,Harvest Capital Credit Corp,2021-06-10
0001674786,GUGGENHEIM CREDIT INCOME FUND 2021,2021-03-31
0001577791,Oaktree Strategic Income Corp,2021-03-19
0001577134,"Terra Income Fund 6, Inc.",2022-09-29
0001892091,AFC BDC Inc.,2022-09-16
0001844684,NC SLF Inc.,2022-08-12
0001879017,"Lafayette Square Far West BDC, Inc.",2022-06-21
0001879018,"Lafayette Square Gulf Coast BDC, Inc.",2022-06-21
0001879008,"Lafayette Square Mid-Atlantic BDC, Inc.",2022-06-21
0001508171,SLR Senior Investment Corp.,2022-04-01
0001523526,Sierra Income Corp,2022-02-25
0001642862,"Venture Lending & Leasing VIII, Inc.",2023-10-12
0001666384,"AG Twin Brook BDC, Inc.",2023-07-28
0001464963,"First Eagle Alternative Capital BDC, Inc.",2023-03-10
0001744179,"Oaktree Strategic Income II, Inc.",2023-01-23
0001587987,Newtek Business Services Corp.,2023-01-06
0001913721,AGTB Private BDC,2023-01-05
0001781870,"New Mountain Guardian III BDC, L.L.C.",2024-12-19
0002022625,Nuveen Churchill Private Credit Fund,2024-12-13
0001825590,SL Investment Corp.,2024-07-15
0001715268,"Golub Capital BDC 3, Inc.",2024-06-03
0001326003,BlackRock Capital Investment Corp,2024-03-18
0001948565,Investcorp US Institutional Private Credit Fund,2024-02-01
0001490927,Franklin BSP Lending Corp,2024-01-24
0001501729,FS Specialty Lending Fund,2025-10-28
0002018545,Franklin BSP Real Estate Debt BDC,2025-10-20
0001865174,Goldman Sachs Middle Market Lending Corp. II,2025-10-14
0001922947,Wellings Real Estate Income Fund,2025-07-25
0001571329,Logan Ridge Finance Corp.,2025-07-15
0001618697,GUGGENHEIM CREDIT INCOME FUND,2025-06-27
0001618694,GUGGENHEIM CREDIT INCOME FUND 2016 T,2025-06-27
0001618696,GUGGENHEIM CREDIT INCOME FUND 2019,2025-06-27
0001851277,Carlyle Secured Lending III,2025-03-28
0001889668,Blue Owl Technology Finance Corp. II,2025-03-24
0001617572,StHealth Capital Investment Corp,2025-01-24
0001807427,Blue Owl Capital Corp III,2025-01-13
0001999538,X1 Capital Inc.,2026-06-17
0002071136,Nuveen Churchill BDC V,2026-05-12
0001512931,MONROE CAPITAL Corp,2026-04-14
0001870267,Redwood Enhanced Income Corp.,2026-02-27
